lat_deg,lon_deg,alt_km,x_ecef_m,y_ecef_m,z_ecef_m,ax_m_s2,ay_m_s2,az_m_s2,g_total_m_s2,g_point_mass_m_s2,delta_g_m_s2,delta_g_mGal
-80.000000,-150.000000,400,-1019321.440800,-588505.508237,-6675161.179213,1.304747,0.753291,8.533258,8.665236,8.675953,-0.010717,-1071.707925
-80.000000,-140.000000,400,-901642.748659,-756568.097853,-6675161.179213,1.154121,0.968415,8.533264,8.665242,8.675953,-0.010711,-1071.088245
-80.000000,-130.000000,400,-756568.097853,-901642.748659,-6675161.179213,0.968426,1.154115,8.533271,8.665249,8.675953,-0.010703,-1070.331535
-80.000000,-120.000000,400,-588505.508237,-1019321.440800,-6675161.179213,0.753305,1.304748,8.533279,8.665257,8.675953,-0.010695,-1069.545902
-80.000000,-110.000000,400,-402561.476550,-1106028.566763,-6675161.179213,0.515295,1.415737,8.533287,8.665265,8.675953,-0.010688,-1068.777347
-80.000000,-100.000000,400,-204385.818104,-1159129.574403,-6675161.179213,0.261626,1.483709,8.533294,8.665272,8.675953,-0.010681,-1068.054100
-80.000000,-90.000000,400,0.000000,-1177011.016473,-6675161.179213,0.000008,1.506600,8.533300,8.665278,8.675953,-0.010675,-1067.469140
-80.000000,-80.000000,400,204385.818104,-1159129.574403,-6675161.179213,-0.261611,1.483714,8.533303,8.665282,8.675953,-0.010671,-1067.098629
-80.000000,-70.000000,400,402561.476550,-1106028.566763,-6675161.179213,-0.515282,1.415745,8.533305,8.665284,8.675953,-0.010669,-1066.857811
-80.000000,-60.000000,400,588505.508237,-1019321.440800,-6675161.179213,-0.753295,1.304759,8.533308,8.665287,8.675953,-0.010666,-1066.580905
-80.000000,-50.000000,400,756568.097853,-901642.748659,-6675161.179213,-0.968419,1.154126,8.533312,8.665291,8.675953,-0.010662,-1066.207051
-80.000000,-40.000000,400,901642.748659,-756568.097853,-6675161.179213,-1.154117,0.968427,8.533317,8.665295,8.675953,-0.010658,-1065.780871
-80.000000,-30.000000,400,1019321.440800,-588505.508237,-6675161.179213,-1.304747,0.753303,8.533322,8.665300,8.675953,-0.010653,-1065.301735
-80.000000,-20.000000,400,1106028.566763,-402561.476550,-6675161.179213,-1.415733,0.515291,8.533328,8.665305,8.675953,-0.010648,-1064.762317
-80.000000,-10.000000,400,1159129.574403,-204385.818104,-6675161.179213,-1.483704,0.261622,8.533334,8.665311,8.675953,-0.010642,-1064.222412
-80.000000,0.000000,400,1177011.016473,0.000000,-6675161.179213,-1.506594,0.000004,8.533339,8.665316,8.675953,-0.010637,-1063.690841
-80.000000,10.000000,400,1159129.574403,204385.818104,-6675161.179213,-1.483707,-0.261614,8.533344,8.665322,8.675953,-0.010631,-1063.128292
-80.000000,20.000000,400,1106028.566763,402561.476550,-6675161.179213,-1.415738,-0.515284,8.533350,8.665327,8.675953,-0.010626,-1062.574849
-80.000000,30.000000,400,1019321.440800,588505.508237,-6675161.179213,-1.304752,-0.753299,8.533354,8.665331,8.675953,-0.010621,-1062.144336
-80.000000,40.000000,400,901642.748659,756568.097853,-6675161.179213,-1.154122,-0.968425,8.533356,8.665334,8.675953,-0.010619,-1061.905114
-80.000000,50.000000,400,756568.097853,901642.748659,-6675161.179213,-0.968422,-1.154126,8.533356,8.665334,8.675953,-0.010618,-1061.844992
-80.000000,60.000000,400,588505.508237,1019321.440800,-6675161.179213,-0.753296,-1.304758,8.533355,8.665334,8.675953,-0.010619,-1061.927979
-80.000000,70.000000,400,402561.476550,1106028.566763,-6675161.179213,-0.515281,-1.415744,8.533353,8.665331,8.675953,-0.010622,-1062.172548
-80.000000,80.000000,400,204385.818104,1159129.574403,-6675161.179213,-0.261609,-1.483712,8.533348,8.665325,8.675953,-0.010627,-1062.729805
-80.000000,90.000000,400,0.000000,1177011.016473,-6675161.179213,0.000012,-1.506597,8.533338,8.665315,8.675953,-0.010638,-1063.763420
-80.000000,100.000000,400,-204385.818104,1159129.574403,-6675161.179213,0.261630,-1.483704,8.533323,8.665301,8.675953,-0.010652,-1065.212232
-80.000000,110.000000,400,-402561.476550,1106028.566763,-6675161.179213,0.515297,-1.415729,8.533307,8.665284,8.675953,-0.010668,-1066.846071
-80.000000,120.000000,400,-588505.508237,1019321.440800,-6675161.179213,0.753306,-1.304739,8.533291,8.665268,8.675953,-0.010684,-1068.441814
-80.000000,130.000000,400,-756568.097853,901642.748659,-6675161.179213,0.968424,-1.154105,8.533278,8.665254,8.675953,-0.010698,-1069.829215
-80.000000,140.000000,400,-901642.748659,756568.097853,-6675161.179213,1.154116,-0.968406,8.533268,8.665244,8.675953,-0.010709,-1070.860135
-80.000000,150.000000,400,-1019321.440800,588505.508237,-6675161.179213,1.304740,-0.753284,8.533262,8.665238,8.675953,-0.010715,-1071.455513
-80.000000,160.000000,400,-1106028.566763,402561.476550,-6675161.179213,1.415723,-0.515276,8.533260,8.665235,8.675953,-0.010717,-1071.748352
-80.000000,170.000000,400,-1159129.574403,204385.818104,-6675161.179213,1.483691,-0.261611,8.533258,8.665233,8.675953,-0.010720,-1071.964820
-70.000000,-180.000000,400,-2318259.148807,-0.000000,-6369364.663791,2.967575,0.000003,8.142757,8.666660,8.675953,-0.009293,-929.278089
-70.000000,-170.000000,400,-2283039.583237,-402561.476550,-6369364.663791,2.922497,0.515314,8.142753,8.666658,8.675953,-0.009294,-929.433595
-70.000000,-160.000000,400,-2178451.015203,-792891.326341,-6369364.663791,2.788620,1.014970,8.142756,8.666662,8.675953,-0.009291,-929.055882
-70.000000,-150.000000,400,-2007671.315422,-1159129.574403,-6369364.663791,2.570010,1.483788,8.142761,8.666668,8.675953,-0.009284,-928.433748
-70.000000,-140.000000,400,-1775889.538653,-1490148.256896,-6369364.663791,2.273311,1.907522,8.142772,8.666678,8.675953,-0.009275,-927.453869
-70.000000,-130.000000,400,-1490148.256896,-1775889.538653,-6369364.663791,1.907536,2.273296,8.142786,8.666691,8.675953,-0.009262,-926.180209
-70.000000,-120.000000,400,-1159129.574403,-2007671.315422,-6369364.663791,1.483803,2.569998,8.142799,8.666703,8.675953,-0.009250,-925.000562
-70.000000,-110.000000,400,-792891.326341,-2178451.015203,-6369364.663791,1.014986,2.788612,8.142811,8.666713,8.675953,-0.009240,-923.963459
-70.000000,-100.000000,400,-402561.476550,-2283039.583237,-6369364.663791,0.515329,2.922496,8.142822,8.666724,8.675953,-0.009229,-922.899971
-70.000000,-90.000000,400,0.000000,-2318259.148807,-6369364.663791,0.000016,2.967582,8.142836,8.666737,8.675953,-0.009216,-921.627784
-70.000000,-80.000000,400,402561.476550,-2283039.583237,-6369364.663791,-0.515299,2.922500,8.142853,8.666752,8.675953,-0.009200,-920.044882
-70.000000,-70.000000,400,792891.326341,-2178451.015203,-6369364.663791,-1.014959,2.788619,8.142871,8.666769,8.675953,-0.009184,-918.396784
-70.000000,-60.000000,400,1159129.574403,-2007671.315422,-6369364.663791,-1.483783,2.570005,8.142878,8.666775,8.675953,-0.009177,-917.746577
-70.000000,-50.000000,400,1490148.256896,-1775889.538653,-6369364.663791,-1.907519,2.273303,8.142875,8.666773,8.675953,-0.009180,-918.004202
-70.000000,-40.000000,400,1775889.538653,-1490148.256896,-6369364.663791,-2.273293,1.907527,8.142874,8.666771,8.675953,-0.009182,-918.201427
