time_h,altitude_km,sma_km,ecc,period_min
444,318.707,6696.84,0.000387183,90.9002
445,327.575,6705.71,0.000905902,91.0809
446,319.164,6697.3,0.000374177,90.9095
447,317.316,6695.45,0.000428346,90.8719
448,327.13,6705.27,0.000855435,91.0718
449,320.397,6698.53,0.000274748,90.9346
450,316.17,6694.31,0.000479076,90.8486
451,326.343,6704.48,0.000767646,91.0558
452,321.676,6699.81,0.000264077,90.9607
453,315.324,6693.46,0.000518575,90.8314
454,325.255,6703.39,0.000648209,91.0336
455,322.913,6701.05,0.000355204,90.9859
456,314.811,6692.95,0.000535356,90.8209
457,323.921,6702.06,0.000506085,91.0064
458,324.029,6702.17,0.000484389,91.0086
459,314.645,6692.78,0.000524803,90.8176
460,322.411,6700.55,0.00035614,90.9757
461,324.948,6703.08,0.000611606,91.0273
462,314.822,6692.96,0.000487738,90.8211
463,320.802,6698.94,0.000232419,90.9429
464,325.61,6703.75,0.000719282,91.0408
465,315.315,6693.45,0.000430663,90.8312
466,319.176,6697.31,0.000217227,90.9098
467,325.971,6704.11,0.000798338,91.0482
468,316.083,6694.22,0.000368147,90.8468
469,317.614,6695.75,0.000319681,90.878
470,326.004,6704.14,0.000843978,91.0488
471,317.068,6695.2,0.000326969,90.8669
472,316.19,6694.33,0.000450161,90.849
473,325.7,6703.84,0.000854499,91.0426
474,318.202,6696.34,0.000339263,90.89
475,314.97,6693.11,0.00056901,90.8242
476,325.07,6703.21,0.000830903,91.0298
477,319.412,6697.55,0.000410179,90.9146
478,314.008,6692.14,0.000661738,90.8046
479,324.142,6702.28,0.000776729,91.0109
480,320.619,6698.76,0.000514595,90.9392
481,313.341,6691.48,0.000721254,90.791
482,322.749,6700.89,0.000680957,90.9825
483,321.986,6700.12,0.000648068,90.967
484,312.997,6691.13,0.000744229,90.784
485,321.338,6699.47,0.000584777,90.9538
486,322.936,6701.07,0.000749341,90.9863
487,313.027,6691.16,0.000722798,90.7846
488,319.807,6697.94,0.000487963,90.9226
489,323.668,6701.8,0.000829525,91.0013
490,313.36,6691.5,0.000666402,90.7914
491,318.228,6696.37,0.000408469,90.8905
492,324.137,6702.27,0.000881854,91.0108
493,313.964,6692.1,0.000579917,90.8037
494,316.674,6694.81,0.000366934,90.8589
495,324.312,6702.45,0.000902169,91.0144
496,314.795,6692.93,0.000471526,90.8206
497,315.214,6693.35,0.000373042,90.8291
498,324.178,6702.31,0.000888613,91.0116
499,315.797,6693.93,0.000355593,90.841
500,313.911,6692.05,0.000413087,90.8026
501,323.736,6701.87,0.000841498,91.0027
502,316.908,6695.04,0.000262885,90.8636
503,312.817,6690.95,0.000463344,90.7803
504,323.004,6701.14,0.000763216,90.9877
505,318.059,6696.2,0.000251386,90.887
506,311.976,6690.11,0.000505838,90.7632
507,322.012,6700.15,0.000658246,90.9675
508,319.183,6697.32,0.000334321,90.9099
509,311.413,6689.55,0.000530367,90.7518
510,320.803,6698.94,0.000533461,90.9429
511,320.217,6698.35,0.000455893,90.931
512,311.144,6689.28,0.000532315,90.7463
513,319.429,6697.57,0.000399619,90.9149
514,321.1,6699.24,0.000579624,90.949
515,311.166,6689.3,0.000511195,90.7467
516,317.95,6696.09,0.000277659,90.8848
517,321.784,6699.92,0.000689461,90.9629
518,311.466,6689.6,0.000470313,90.7528
519,316.428,6694.56,0.000217527,90.8538
520,322.229,6700.37,0.000777017,90.9719
521,312.013,6690.15,0.000417498,90.764
522,314.926,6693.06,0.000267301,90.8233
523,322.407,6700.54,0.000837476,90.9756
524,312.771,6690.91,0.000367027,90.7794
525,313.504,6691.64,0.000375919,90.7943
526,322.305,6700.44,0.000868399,90.9735
527,313.69,6691.83,0.000340778,90.7981
528,312.218,6690.35,0.000491219,90.7681
529,321.923,6700.06,0.000869323,90.9657
530,314.716,6692.85,0.00035916,90.819
531,311.114,6689.25,0.000592762,90.7457
532,321.272,6699.41,0.000841584,90.9525
533,315.793,6693.93,0.000422107,90.8409
534,310.231,6688.37,0.000671369,90.7277
535,320.378,6698.52,0.000788217,90.9343
536,316.86,6695,0.000511667,90.8626
537,309.594,6687.73,0.000722126,90.7148
538,319.275,6697.41,0.000713925,90.9118
539,317.862,6696,0.000609443,90.883
540,309.219,6687.36,0.00074257,90.7071
541,318.005,6696.14,0.000625198,90.886
542,318.747,6696.88,0.00070236,90.901
543,309.109,6687.25,0.000732145,90.7049
544,316.619,6694.76,0.000530736,90.8577
545,319.468,6697.6,0.00078153,90.9157
546,309.254,6687.39,0.000692019,90.7078
547,315.168,6693.31,0.00044236,90.8282
548,319.987,6698.12,0.000840839,90.9263
549,309.636,6687.77,0.000625042,90.7156
550,313.708,6691.84,0.000375817,90.7985
551,320.278,6698.42,0.000876217,90.9322
552,310.226,6688.36,0.000535937,90.7276
553,312.29,6690.43,0.000347293,90.7696
554,320.323,6698.46,0.000885299,90.9331
555,310.986,6689.12,0.000432115,90.7431
556,310.964,6689.1,0.000360815,90.7426
557,320.115,6698.25,0.000867268,90.9289
558,311.873,6690.01,0.000326619,90.7611
559,309.776,6687.91,0.000402081,90.7184
560,319.658,6697.8,0.000822756,90.9196
561,312.841,6690.98,0.000247373,90.7808
562,308.761,6686.9,0.000451643,90.6978
563,318.968,6697.1,0.000753783,90.9055
564,313.839,6691.98,0.000242599,90.8011
565,307.949,6686.09,0.000495467,90.6813
566,318.066,6696.2,0.000663763,90.8872
567,314.819,6692.96,0.000318775,90.8211
568,307.361,6685.5,0.000525478,90.6693
569,316.984,6695.12,0.000557702,90.8651
570,315.734,6693.87,0.000429815,90.8397
571,307.006,6685.14,0.000537707,90.6621
572,315.759,6693.9,0.000442969,90.8402
573,316.541,6694.68,0.000545647,90.8561
574,306.886,6685.02,0.000531064,90.6597
575,314.433,6692.57,0.000331988,90.8132
576,317.201,6695.34,0.000652745,90.8696
577,306.993,6685.13,0.000506847,90.6618
578,313.05,6691.19,0.000250122,90.7851
579,317.685,6695.82,0.000743961,90.8794
580,307.31,6685.45,0.000468777,90.6683
581,311.656,6689.79,0.000239,90.7567
582,317.969,6696.11,0.000814978,90.8852
583,307.813,6685.95,0.000423542,90.6785
584,310.293,6688.43,0.00030297,90.729
585,318.038,6696.17,0.000863214,90.8866
586,308.472,6686.61,0.000381742,90.6919
587,309.004,6687.14,0.000398823,90.7027
588,317.884,6696.02,0.000887435,90.8835
589,309.252,6687.39,0.000357911,90.7078
590,307.825,6685.96,0.000497301,90.6788
591,317.511,6695.65,0.000887585,90.8759
592,310.114,6688.25,0.0003656,90.7253
593,306.789,6684.93,0.000585326,90.6577
594,316.926,6695.06,0.000864688,90.864
595,311.018,6689.16,0.000407684,90.7437
596,305.922,6684.06,0.000656301,90.64
597,316.148,6694.29,0.000820773,90.8481
598,311.924,6690.06,0.000474891,90.7622
599,305.242,6683.38,0.000706479,90.6262
600,315.2,6693.34,0.000758835,90.8288
601,312.792,6690.93,0.000554421,90.7798
602,304.761,6682.9,0.000733792,90.6164
603,314.108,6692.25,0.000682832,90.8066
604,313.585,6691.72,0.000635706,90.796
605,304.484,6682.62,0.000737431,90.6108
606,312.907,6691.04,0.000597812,90.7822
607,314.271,6692.41,0.000711109,90.8099
608,304.409,6682.55,0.000717667,90.6093
609,311.63,6689.77,0.000510253,90.7562
610,314.822,6692.96,0.000775211,90.8211
611,304.526,6682.66,0.000675767,90.6117
612,310.314,6688.45,0.000428745,90.7294
613,315.213,6693.35,0.000824184,90.8291
614,304.819,6682.96,0.000613983,90.6176
615,308.994,6687.13,0.000364711,90.7026
616,315.43,6693.57,0.000855441,90.8335
617,305.269,6683.41,0.000535657,90.6268
618,307.706,6685.84,0.000330853,90.6764
619,315.46,6693.6,0.000867439,90.8341
620,305.85,6683.99,0.000445653,90.6386
621,306.483,6684.62,0.000333413,90.6515
622,315.3,6693.44,0.000859567,90.8309
623,306.534,6684.67,0.00035172,90.6525
