jd,latitude_deg,longitude_deg
2460482.75625000,-1.3830,-4.5625
2460482.75694444,1.6865,-2.3983
2460482.75763889,4.7529,-0.2265
2460482.75833333,7.8105,1.9666
2460482.75902778,10.8532,4.1954
2460482.75972222,13.8749,6.4745
2460482.76041667,16.8691,8.8194
2460482.76111111,19.8284,11.2467
2460482.76180556,22.7450,13.7740
2460482.76250000,25.6103,16.4203
2460482.76319444,28.4142,19.2063
2460482.76388889,31.1458,22.1539
2460482.76458333,33.7923,25.2869
2460482.76527778,36.3392,28.6301
2460482.76597222,38.7701,32.2089
2460482.76666667,41.0661,36.0486
2460482.76736111,43.2061,40.1721
2460482.76805556,45.1668,44.5981
2460482.76875000,46.9226,49.3379
2460482.76944444,48.4468,54.3912
2460482.77013889,49.7126,59.7426
2460482.77083333,50.6943,65.3583
2460482.77152778,51.3699,71.1842
2460482.77222222,51.7229,77.1478
2460482.77291667,51.7441,83.1634
2460482.77361111,51.4329,89.1399
2460482.77430556,50.7973,94.9900
2460482.77500000,49.8526,100.6391
2460482.77569444,48.6203,106.0305
2460482.77638889,47.1254,111.1275
2460482.77708333,45.3947,115.9123
2460482.77777778,43.4551,120.3827
2460482.77847222,41.3322,124.5488
2460482.77916667,39.0498,128.4282
2460482.77986111,36.6293,132.0437
2460482.78055556,34.0897,135.4202
2460482.78125000,31.4481,138.5832
2460482.78194444,28.7190,141.5577
2460482.78263889,25.9155,144.3676
2460482.78333333,23.0490,147.0352
2460482.78402778,20.1295,149.5814
2460482.78472222,17.1660,152.0253
2460482.78541667,14.1666,154.3850
2460482.78611111,11.1384,156.6770
2460482.78680556,8.0884,158.9171
2460482.78750000,5.0229,161.1201
2460482.78819444,1.9478,163.3004
2460482.78888889,-1.1310,165.4719
2460482.78958333,-4.2076,167.6486
2460482.79027778,-7.2763,169.8442
2460482.79097222,-10.3311,172.0731
2460482.79166667,-13.3657,174.3499
2460482.79236111,-16.3735,176.6900
2460482.79305556,-19.3473,179.1100
2460482.79375000,-22.2794,-178.3727
2460482.79444444,-25.1610,-175.7392
2460482.79513889,-27.9823,-172.9691
2460482.79583333,-30.7324,-170.0404
2460482.79652778,-33.3987,-166.9296
2460482.79722222,-35.9670,-163.6120
2460482.79791667,-38.4209,-160.0622
